"","Symbol_Mouse","Symbol_Rat"
"75","Gja1","Gja1"
"76","Gjb1","Gjb1"
"77","Gli3","Gli3"
"78","Gldc","Gldc"
"79","Glra3","Glra3"
"80","Gp1ba","Gp1ba"
"81","Gp9","Gp9"
"82","Gpi1","Gpi"
"83","Gsn","Gsn"
"84","Gss","Gss"
"85","Msh6","Msh6"
"86","Hadha","Hadha"
"87","Hadhb","Hadhb"
"88","Hgd","Hgd"
"89","Hmbs","Hmbs"
"90","Hmgcl","Hmgcl"
"91","Tbx5","Tbx5"
"92","Hps1","Hps1"
"94","Icam1","Icam1"
"95","Ids","Ids"
"96","Idua","Idua"
"97","Cfi","Cfi"
"98","Il2rg","Il2rg"
"99","Ins2","Ins2"
"100","Pdx1","Pdx1"
"101","Itgb4","Itgb4"
"102","Jag1","Jag1"
"103","Jak3","Jak3"
"104","Kcna1","Kcna1"
"105","Kcne1","Kcne1"
"106","Kit","Kit"
"107","Krt12","Krt12"
"108","Lamb3","Lamb3"
"109","Lep","Lep"
"110","Sgcg","Sgcg"
"111","Sgcb","Sgcb"
"112","Lig1","Lig1"
"113","Lig1","LOC100911727"
"114","Lipc","Lipc"
"115","Lpl","Lpl"
"116","Kcnh2","Kcnh2"
"117","Maoa","Maoa"
"118","Met","Met"
"119","Ciita","Ciita"
"120","Mlh1","Mlh1"
"121","Msh2","Msh2"
"122","Mttp","Mttp"
"123","Mybpc3","Mybpc3"
"124","Myo7a","Myo7a"
"125","Myoc","Myoc"
"126","Naga","Naga"
"127","Naglu","Naglu"
"128","Ptch1","Ptch1"
"130","Nf1","Nf1"
"131","Pnp","Pnp"
"132","Pnp2","Pnp"
"133","Npc1","Npc1"
"134","Nphp1","Nphp1"
"135","Gpr143","Gpr143"
"136","Oat","Oat"
"137","Ocrl","Ocrl"
"138","Pah","Pah"
"139","Pcca","Pcca"
"140","Pde6b","Pde6b"
"141","Pepd","Pepd"
"142","Pex12","LOC100909787"
"143","Pex12","Pex12"
"144","Pex7","Pex7"
"145","Phka2","Phka2"
"146","Phkb","Phkb"
"147","Pkd1","Pkd1"
"148","Pkp1","Pkp1"
"149","Plod1","Plod1"
"150","Pmm2","Pmm2"
"151","Pou1f1","Pou1f1"
"152","Pou3f4","Pou3f4"
"153","Ppox","Ppox"
"154","Pros1","Pros1"
"155","Pten","Pten"
"156","Pth","Pth"
"157","Pth1r","Pth1r"
"158","Pts","Pts"
"159","Pex2","Pex2"
"160","Pex5","Pex5"
"161","Qdpr","Qdpr"
"162","Rb1","Rb1"
"163","Prph2","Prph2"
"164","Rom1","Rom1"
"165","Rs1","Rs1"
"166","Atxn1","Atxn1"
"167","Scn4a","Scn4a"
"168","Sgcd","Sgcd"
"169","Slc12a1","Slc12a1"
"170","Slc12a3","Slc12a3"
"171","Smn1","Smn1"
"172","Snca","Snca"
"173","Sox9","Sox9"
"174","Sptb","Sptb"
"175","Star","Star"
"176","Abca4","Abca4"
"177","Tcn2","Tcn2"
"178","Tgm1","Tgm1"
"179","Th","Th"
"180","Thbd","Thbd"
"181","Tnni3","Tnni3"
"182","Tpmt","Tpmt"
"183","Tsc1","Tsc1"
"184","Tshr","Tshr"
"185","Ttr","Ttr"
"186","Umps","Umps"
"187","Urod","Urod"
"188","Xdh","Xdh"
"189","Aire","Aire"
"190","Apob","Apob"
"191","Blmh","Blmh"
"192","Slc25a20","Slc25a20"
"193","Casr","Casr"
"194","Cdkn1a","Cdkn1a"
"195","Chm","Chm"
"196","Tpp1","Tpp1"
"197","Csf2rb","Csf2rb"
"198","Csf2rb2","Csf2rb"
"199","Ercc2","Ercc2"
"200","Ext2","Ext2"
"201","Gale","Gale"
"202","Gm2a","Gm2a"
"203","Gnrhr","Gnrhr"
"204","Gpd2","Gpd2"
"205","Guca1a","Guca1a"
"206","Hsd17b4","Hsd17b4"
"207","Ifngr1","Ifngr1"
"208","Il2ra","Il2ra"
"209","Kel","Kel"
"210","Krt17","Krt17"
"211","Ltbp2","Ltbp2"
"212","Pafah1b1","Pafah1b1"
"213","Mvk","Mvk"
"214","Ncf2","Ncf2"
"215","Neu1","Neu1"
"216","Notch3","Notch3"
"217","Oxct1","Oxct1"
"219","Pde6a","Pde6a"
"220","Plec","Plec"
"221","Pon2","Pon2"
"222","Psen2","Psen2"
"223","Rag1","Rag1"
"224","Sele","Sele"
"225","Slc10a2","Slc10a2"
"226","Sod1","Sod1"
"227","Stk11","Stk11"
"228","Suox","Suox"
"229","Hnf4a","Hnf4a"
"230","Hnf1b","Hnf1b"
"231","Tek","Tek"
"232","Thpo","LOC100910397"
"233","Thpo","Thpol1"
"234","Bard1","Bard1"
"235","Twist1","Twist1"
"236","Nr0b1","Nr0b1"
"237","Alb","Alb"
"238","Ampd3","Ampd3"
"239","Amt","Amt"
"240","Aprt","Aprt"
"241","Atrx","Atrx"
"242","Avp","Avp"
"243","C1qb","C1qb"
"244","Crybb2","Crybb2"
"245","F12","F12"
"246","F2","F2"
"247","Fga","Fga"
"248","Fgg","Fgg"
"249","Fshb","Fshb"
"250","Sec1","Sec1"
"251","Gdnf","Gdnf"
"252","Hexb","Hexb"
"253","Kcnj11","Kcnj11"
"254","Vldlr","Vldlr"
"255","Mc2r","Mc2r"
"256","Mpz","Mpz"
"257","Otc","Otc"
"258","Pccb","Pccb"
"259","Plp1","Plp1"
"260","Pms1","Pms1"
"261","Rfxap","Rfxap"
"262","Sag","Sag"
"263","Sftpb","Sftpb"
"264","Smpd1","Smpd1"
"265","Hnf1a","Hnf1a"
"266","Trp53","Tp53"
"267","Tpo","Tpo"
"268","Tsc2","Tsc2"
"269","Tshb","Tshb"
"270","Tyrp1","Tyrp1"
"271","Vhl","Vhl"
"272","Vwf","Vwf"
"273","Crx","Crx"
"274","Gdf5","Gdf5"
"275","Hba-a1","Hba-a3"
"276","Hba-a2","Hba-a3"
"277","C8a","C8a"
"278","Il5ra","Il5ra"
"279","Il6ra","Il6r"
"280","Fcgr1","Fcgr1a"
"281","Fcgr4","Fcgr3a"
"282","Il10","Il10"
"283","Cd55","Cd55"
"284","Cd55b","Cd55"
"285","Il1a","Il1a"
"286","Il1b","Il1b"
"287","Gc","Gc"
"288","Il15","Il15"
"289","Il2","Il2"
"290","C7","C7"
"291","Il4","Il4"
"292","Il9","Il9"
"293","Cd14","Cd14"
"294","Tap1","Tap1"
"295","Tnf","Tnf"
"296","Lta","Lta"
"297","Igfbp1","Igfbp1"
"298","Igfbp2","Igfbp2"
"299","Igfbp3","Igfbp3"
"300","Il6","Il6"
"301","Hgf","Hgf"
"302","Nos3","Nos3"
"303","C8g","C8g"
"304","Cd44","Cd44"
"305","Igf2","Igf2"
"306","Hpx","Hpx"
"307","Cd4","Cd4"
"308","Igf1","Igf1"
"309","Bdkrb2","Bdkrb2"
"310","Cd79b","Cd79b"
"311","Ltbp1","Ltbp1"
"312","Il10rb","Il10rb"
"313","Ifnar1","Ifnar1"
"314","Ncf4","Ncf4"
"315","Itgam","Itgam"
"316","Bcl2","Bcl2"
"317","Sod2","Sod2"
"318","Gsr","Gsr"
"319","Vtn","Vtn"
"320","Fasl","Faslg"
"321","Il13ra2","Il13ra2"
"322","Il11","Il11"
"323","Agl","Agl"
"325","Sell","Sell"
"326","Tgfb1","Tgfb1"
"327","Abat","Abat"
"328","Ache","Ache"
"330","Adra1d","Adra1d"
"331","Adra2b","Adra2b"
"332","Ahcy","Ahcy"
"333","Alox12","Alox12"
"334","Alox5","Alox5"
"335","Anxa1","Anxa1"
"336","Atp1a1","Atp1a1"
"337","Avpr1a","Avpr1a"
"338","Bckdha","Bckdha"
"339","Bdkrb1","Bdkrb1"
"340","Blvra","Blvra"
"341","Blvrb","Blvrb"
"342","Tspo","Tspo"
"343","Cacna1d","Cacna1d"
"344","Cacna2d1","Cacna2d1"
"345","Cacng1","Cacng1"
"346","Cck","Cck"
"347","Cd3d","Cd3d"
"348","Cd3e","Cd3e"
"349","Cga","Cga"
"350","Chrna3","Chrna3"
"351","Chrna4","Chrna4"
"352","Chrna7","Chrna7"
"353","Chrnb1","Chrnb1"
"354","Chrnb2","Chrnb2"
"355","Crat","Crat"
"356","Crh","Crh"
"357","Csf2","Csf2"
"358","Csf3r","Csf3r"
"359","Dbh","Dbh"
"360","Dck","Dck"
"361","Ddc","Ddc"
"362","Dio1","Dio1"
"363","Dio2","Dio2"
"364","Drd3","Drd3"
"365","Epo","Epo"
"366","Fgf1","Fgf1"
"367","Folr2","Folr2"
"368","Gast","Gast"
"369","Gabra1","Gabra1"
"370","Gabra4","Gabra4"
"371","Gabrb3","Gabrb3"
"372","Gad1","Gad1"
"373","Gart","Gart"
"374","Gas6","Gas6"
"375","Ggcx","Ggcx"
"376","Ghrhr","Ghrhr"
"377","Gnrh1","Gnrh1"
"378","Grin2a","Grin2a"
"379","Grin2b","Grin2b"
"380","Grin2c","Grin2c"
"381","Grin2d","Grin2d"
"382","Grm1","Grm1"
"383","Grm3","Grm3"
"384","Grm8","Grm8"
"385","Gstm5","Gstm5"
"386","Gstm5","LOC100912430"
"387","Gstp1","Gstp1"
"388","Gstp2","Gstp1"
"389","Gstp-ps","Gstp1"
"390","Gucy1b1","Gucy1b1"
"391","Guk1","Guk1"
"392","Hrh1","Hrh1"
"393","Htr1b","Htr1b"
"394","Htr3a","Htr3a"
"395","Htr6","Htr6"
"396","Icam2","Icam2"
"397","Igf2r","Igf2r"
"398","Il1r1","Il1r1"
"399","Il5","Il5"
"400","Il7","Il7"
"401","Il12a","Il12a"
"402","Itgb6","Itgb6"
"403","Kitl","Kitlg"
"404","Mgp","Mgp"
"405","Nqo1","Nqo1"
"406","Nqo2","Nqo2"
"407","Npy","LOC100912228"
"408","Npy","Npy"
"409","Npr3","Npr3"
"410","Npy1r","Npy1r"
"411","Npy2r","Npy2r"
"412","Pde3a","Pde3a"
"413","Pde3b","Pde3b"
"414","Pdhb","Pdhb"
"415","Pgr","Pgr"
"416","Pla2g1b","Pla2g1b"
"417","Pla2g5","Pla2g5"
"418","Plat","Plat"
"419","Serpinf2","Serpinf2"
"420","Polr2a","Polr2a"
"421","Polr2b","Polr2b"
"422","Pomc","Pomc"
"423","Por","Por"
"424","Ppib","Ppib"
"425","Ppic","Ppic"
"427","Prim2","Prim2"
"428","Prl","Prl"
"429","Prlr","Prlr"
"430","Prrg1","Prrg1"
"431","Prrg2","Prrg2"
"432","Ptgdr","Ptgdr"
"433","Ptgdr","Ptgdrl"
"434","Ptgds","Ptgds"
"435","Ptger1","Ptger1"
"436","Ptger2","Ptger2"
"437","Ptgfr","Ptgfr"
"438","Ptgs1","Ptgs1"
"439","Rpl3","Rpl3"
"440","Rpl4","Rpl4"
"441","Rpl18","Rpl18"
"442","Rpl24","Rpl24"
"443","Rpl30","LOC100362027"
"444","Rpl30","Rpl30"
"445","Rpl28","Rpl28"
"446","Rps3","Rps3"
"447","Rps5","Rps5"
"448","Rps10","Rps10"
"449","Rps10","Rps10l1"
"450","Rps16","Rps16"
"451","Rps23","Rps23"
"452","Rrm1","Rrm1"
"453","Scn1b","Scn1b"
"454","Scnn1a","Scnn1a"
"455","Shbg","Shbg"
"456","Slc6a2","Slc6a2"
"457","Slc6a4","Slc6a4"
"458","Sst","Sst"
"459","Sstr1","Sstr1"
"460","Tacr3","Tacr3"
"461","Tbxa2r","Tbxa2r"
"462","1300017J02Rik","RGD1310507"
"463","Tnfrsf1a","Tnfrsf1a"
"464","Tnfrsf1b","Tnfrsf1b"
"465","Top2a","Top2a"
"466","Tubg1","Tubg1"
"467","Tyms","Tyms"
"468","Vcam1","Vcam1"
"469","Zap70","Zap70"
"470","Aldh5a1","Aldh5a1"
"471","Pde5a","Pde5a"
"472","Plod3","Plod3"
"473","Aamp","Aamp"
"474","Abcf1","Abcf1"
"475","Acly","Acly"
"476","Acr","Acr"
"477","Aco2","Aco2"
"478","Actn3","Actn3"
"479","Acvr2b","Acvr2b"
"480","Adam10","Adam10"
"481","Adcy7","Adcy7"
"482","Adcy9","Adcy9"
"483","Adcyap1","Adcyap1"
"484","Adcyap1r1","Adcyap1r1"
"485","Mfsd10","Mfsd10"
"486","Plin2","Plin2"
"487","Adm","Adm"
"488","Adprh","Adprh"
"489","Adss","Adss"
"490","Aebp1","Aebp1"
"491","Tle5","Tle5"
"492","Afm","Afm"
"493","Ager","Ager"
"494","Alox12b","Alox12b"
"495","Alox8","Alox15b"
"496","Amfr","Amfr"
"497","Nudt2","Nudt2"
"498","Apba1","Apba1"
"499","Apbb1","Apbb1"
"500","Birc3","Birc3"
"501","Birc2","Birc2"
"502","Xiap","Xiap"
"503","Arg2","Arg2"
"504","Arhgap5","Arhgap5"
"505","Arhgdia","Arhgdia"
"506","Arntl","Arntl"
"507","Art3","Art3"
"508","Asgr2","Asgr2"
"509","Aldh7a1","Aldh7a1"
"510","Atp6ap1","Atp6ap1"
"511","Azgp1","Azgp1"
"512","Bach1","Bach1"
"513","Bach1","LOC100911490"
"514","Bak1","Bak1"
"515","Tnfrsf17","Tnfrsf17"
"516","Bfsp1","Bfsp1"
"517","Bid","Bid"
"518","Bik","Bik"
"519","Prdm1","Prdm1"
"520","Bmp2","Bmp2"
"521","Bmp3","Bmp3"
"522","Bmpr2","Bmpr2"
"523","Bnip1","Bnip1"
"524","Klf9","Klf9"
"525","Bub1b","Bub1b"
"526","Calu","Calu"
"527","Cav2","Cav2"
"528","Ccnh","Ccnh"
"529","Ccnt1","Ccnt1"
"530","Tnfrsf8","Tnfrsf8"
"531","Tnfsf8","Tnfsf8"
"532","Cd40","Cd40"
"533","Cd68","Cd68"
"534","Cd70","Cd70"
"535","Cdc27","Cdc27"
"536","Cdk6","Cdk6"
"537","Cdkn2c","Cdkn2c"
"538","Cdx2","Cdx2"
"539","Rcbtb2","Rcbtb2"
"540","Chek1","Chek1"
"541","Chga","Chga"
"542","Chuk","Chuk"
"543","Cirbp","Cirbp"
"545","Clca1","Clca1"
"546","Clcn6","Clcn6"
"547","Clic5","Clic5"
"548","Ldb2","Ldb2"
"549","Clns1a","Clns1a"
"550","Ackr2","Ackr2"
"551","Cnga3","Cnga3"
"552","Cnn1","Cnn1"
"553","Klf6","Klf6"
"554","Cort","Cort"
"555","Cpd","Cpd"
"556","Cldn4","Cldn4"
"557","Cldn3","Cldn3"
"558","Cpn1","Cpn1"
"559","Crebl2","Crebl2"
"560","Cse1l","Cse1l"
"561","Cst6","Cst6"
"562","Cstf1","Cstf1"
"563","Cstf3","Cstf3"
"564","Ctbp1","Ctbp1"
"565","Ctf1","Ctf1"
"566","Ctnnd1","Ctnnd1"
"568","Ctsz","Ctsz"
"569","Cxadr","Cxadr"
"570","Dab2","Dab2"
"571","Dad1","Dad1"
"572","Dgka","Dgka"
"573","Dgkg","Dgkg"
"574","Dars","Dars1"
"575","Daxx","Daxx"
"576","Dbp","Dbp"
"577","Ddt","Ddt"
"578","Dhx9","Dhx9"
"579","Dhx15","Dhx15"
"580","Dhcr7","Dhcr7"
"581","Dhodh","Dhodh"
"582","Dio3","Dio3"
"583","Dkc1","Dkc1"
"584","Dlg2","Dlg2"
"585","Dlg4","Dlg4"
"587","Dnah8","Dnah8"
"588","Dnase2b","Dnase2b"
"589","Dync1h1","Dync1h1"
"590","Dok1","Dok1"
"591","Dpagt1","Dpagt1"
"592","Dph1","Dph1"
"593","Dph2","Dph2"
"594","Drg2","Drg2"
"595","Ecm2","Ecm2"
"596","Ecm2","LOC100910978"
"597","Dusp4","Dusp4"
"598","Dusp9","Dusp9"
"599","Ece1","Ece1"
"600","Ech1","Ech1"
"601","S1pr1","S1pr1"
"602","Lpar1","Lpar1"
"603","Efna2","Efna2"
"604","Efnb3","Efnb3"
"605","Celsr3","Celsr3"
"606","Celsr2","Celsr2"
"607","Eif2b1","Eif2b1"
"608","Emp1","Emp1"
"609","Emp2","Emp2"
"610","Emp3","Emp3"
"611","Ep300","Ep300"
"612","Epas1","Epas1"
"613","Ereg","Ereg"
"614","Fbl","Fbl"
"615","Esr2","Esr2"
"616","Extl2","Extl2"
"617","Extl3","Extl3"
"618","Fabp1","Fabp1"
"619","Fabp6","Fabp6"
"620","Fat2","Fat2"
"621","Foxf1","Foxf1"
"623","Foxj1","Foxj1"
"624","Flna","Flna"
"625","Frzb","Frzb"
"626","Adam2","Adam2"
"627","Gabbr1","Gabbr1"
"628","B4galnt1","B4galnt1"
"629","Gas8","Gas8"
"630","Gatm","Gatm"
"631","Nipsnap2","Nipsnap2"
"632","Gbx2","Gbx2"
"633","Gckr","Gckr"
"634","Bloc1s1","Bloc1s1"
"635","Gfra2","Gfra2"
"636","Gfra3","Gfra3"
"637","Gclc","Gclc"
"638","Gpld1","Gpld1"
"639","Cxcr3","Cxcr3"
"640","Gpx5","Gpx5"
"641","Gtf2b","Gtf2b"
"642","Gtf2h2","Gtf2h2"
"643","Gtf2h3","Gtf2h3"
"644","Brf1","Brf1"
"645","Has1","Has1"
"646","Hcrt","Hcrt"
"647","Hcrtr2","Hcrtr2"
"648","Hgfac","Hgfac"
"649","Hif1a","Hif1a"
"650","Hnrnpl","Hnrnpl"
"651","Hspb1","Hspb1"
"652","Igsf3","Igsf3"
"653","Mrpl58","Mrpl58"
"654","Id4","Id4"
"655","Ifit2","Ifit2"
"656","Ifit3","Ifit3"
"657","Ifit3b","Ifit3"
"658","Igfbp4","Igfbp4"
"659","Igfbp7","Igfbp7"
"660","Ccn1","Ccn1"
"661","Igsf1","Igsf1"
"662","Il10ra","Il10ra"
"663","Il12rb2","Il12rb2"
"664","Il13ra1","Il13ra1"
"665","Il13ra1","LOC100360218"
"666","Tnfrsf9","Tnfrsf9"
"667","Il18","Il18"
"668","Impg1","Impg1"
"669","Cxcl10","Cxcl10"
"670","Inppl1","Inppl1"
"671","Eif3e","Eif3el1"
"672","Irak2","Irak2"
"673","Irf3","Irf3"
"674","Pax6","Pax6"
"675","Aars","Aars1"
"676","Acadsb","Acadsb"
"677","Acp2","Acp2"
"678","Acrv1","Acrv1"
"679","Add2","Add2"
"680","Parp1","Parp1"
"681","Grk2","Grk2"
"682","Ahr","Ahr"
"683","Ahsg","Ahsg"
"684","Aif1","Aif1"
"685","Ak2","Ak2"
"686","Alcam","Alcam"
"687","Alox5ap","Alox5ap"
"688","Ambp","Ambp"
"689","Amd1","Amd1"
"690","Amd2","Amd1"
"691","Aoah","Aoah"
"692","Apeh","Apeh"
"693","Apex1","Apex1"
"694","Apoa2","Apoa2"
"695","Apobec1","Apobec1"
"696","Apoc4","Apoc4"
"697","Apod","Apod"
"698","Araf","Araf"
"699","Arcn1","Arcn1"
"700","Trim23","Trim23"
"701","Areg","Areg"
"702","Arl4d","Arl4d"
"703","Arf6","Arf6"
"704","Arl2","Arl2"
"705","Arnt","Arnt"
"706","Asgr1","Asgr1"
"707","a","Asip"
"708","Atf3","Atf3"
"709","Atf4","Atf4"
"710","Atp5j","Atp5pf"
"711","Atp5b","Atp5f1b"
"712","Atp5pb","Atp5pb"
"713","Atp5pb","LOC100911417"
"714","Atp6v1b2","Atp6v1b2"
"715","Atp6v1c1","Atp6v1c1"
"716","Atp6v1e1","Atp6v1e1"
"717","Atp5o","Atp5po"
"718","Auh","Auh"
"719","Baat","Baat"
"720","Adgrb1","Adgrb1"
"721","Adgrb2","Adgrb2"
"722","Adgrb3","Adgrb3"
"724","Opn1sw","Opn1sw"
"725","Cfb","Cfb"
"726","Bgn","Bgn"
"727","Bhmt","Bhmt"
"728","Blk","Blk"
"729","Cxcr5","Cxcr5"
"730","Bmp6","Bmp6"
"731","Tec","Tec"
"732","Polr3d","Polr3d"
"733","Brs3","Brs3"
"734","Bsg","Bsg"
"735","Btc","Btc"
"736","Btn1a1","Btn1a1"
"737","C1ra","C1r"
"738","C1rb","C1r"
"739","C1s1","C1s"
"740","C1s2","C1s"
"741","Calb2","Calb2"
"742","Calcr","Calcr"
"743","Caml","Camlg"
"744","Canx","Canx"
"745","Capn2","Capn2"
"746","Capns1","Capns1"
"747","Capns1","LOC100911363"
"748","Capns1","LOC100912380"
"749","Cars","Cars"
"750","Cav1","Cav1"
"751","Runx1","Runx1"
"752","Ccnd1","Ccnd1"
"753","Ccnf","Ccnf"
"754","Cct6a","Cct6a"
"755","Cd1d1","Cd1d1"
"756","Cd2","Cd2"
"757","Cd19","Cd19"
"758","Cd34","Cd34"
"759","Cd34","LOC100911324"
"760","Cd38","Cd38"
"761","Cd47","Cd47"
"762","Cd48","Cd48"
"763","Cd72","Cd72"
"764","Cda","Cda"
"765","Cda","LOC100909857"
"766","Septin7","Septin7"
"767","Cdc25a","Cdc25a"
"768","Cdc25c","Cdc25c"
"769","Cdh5","Cdh5"
"770","Cdh11","Cdh11"
"771","Cdk7","Cdk7"
"772","Cdo1","Cdo1"
"773","Cdx1","Cdx1"
"774","Cebpe","Cebpe"
"775","Cebpg","Cebpg"
"776","Cenpa","Cenpa"
"778","Cenpc1","Cenpc"
"779","Ctsc","Ctsc"
"780","Chgb","Chgb"
"781","Clu","Clu"
"782","Clps","Clps"
"783","Clta","Clta"
"784","Ccr7","Ccr7"
"785","Cnr2","Cnr2"
"786","Col4a2","Col4a2"
"787","Col6a1","Col6a1"
"788","Col6a2","Col6a2"
"789","Col9a1","Col9a1"
"791","Col16a1","Col16a1"
"792","Slc31a1","Slc31a1"
"793","Cox7b","Cox7b"
"794","Cad","Cad"
"795","Cpt1a","Cpt1a"
"797","Crhbp","Crhbp"
"798","Hapln1","Hapln1"
"799","Cryba4","Cryba4"
"800","Crybb1","Crybb1"
"801","Crym","Crym"
"802","Csn2","Csn2"
"803","Ccn2","Ccn2"
"804","Cth","Cth"
"805","Ctnna1","Ctnna1"
"806","Ctnnb1","Ctnnb1"
"807","Dbt","Dbt"
"808","Dct","Dct"
"809","Ddb1","Ddb1"
"810","Gadd45a","Gadd45a"
"811","Dhps","Dhps"
"812","Mpp7","Mpp7"
"813","Dlst","Dlst"
"815","Atn1","Atn1"
"816","Atn1","LOC100911672"
"817","Dsc3","Dsc3"
"818","Dsg1a","Dsg1"
"819","Dsg1b","Dsg1"
"820","Dsg2","Dsg2"
"821","Hbegf","Hbegf"
"822","Dusp7","Dusp7"
"823","E2f4","E2f4"
"824","E2f5","E2f5"
"825","E2f6","E2f6"
"826","Tymp","Tymp"
"827","Edn1","Edn1"
"828","Edn2","Edn2"
"829","Ednra","Ednra"
"830","Eef1b2","Eef1b2"
"831","Efna5","Efna5"
"832","Egf","Egf"
"833","Egr4","Egr4"
"834","Ehhadh","Ehhadh"
"835","Eif4a2","Eif4a2"
"836","Eif5a2","Eif5a2"
"837","Elk4","Elk4"
"838","Adgre1","Adgre1"
"839","Dmtn","Dmtn"
"840","Ercc1","Ercc1"
"841","Etfb","Etfb"
"842","Etv4","Etv4"
"843","Evpl","Evpl"
"844","Evx1","Evx1"
"845","Evx1","LOC100911889"
"846","Eya3","Eya3"
"847","F2r","F2r"
"848","F3","F3"
"850","Fbln2","Fbln2"
"851","Fbn2","Fbn2"
"852","Fcer1a","Fcer1a"
"853","Fcer2a","Fcer2"
"854","Fcnb","Fcnb"
"855","Fdps","Fdps"
"856","Fgf2","Fgf2"
"857","Fgf4","Fgf4"
"858","Fgf9","Fgf9"
"859","Fkbp3","Fkbp3"
"860","Foxo1","Foxo1"
"861","Fmod","Fmod"
"862","Fmr1","Fmr1"
"863","Aff2","Aff2"
"864","Fn1","Fn1"
"865","Fnta","Fnta"
"866","Fntb","Fntb"
"867","Fut4","Fut4"
"868","Kdsr","Kdsr"
"869","Gab1","Gab1"
"870","Gabpa","Gabpa"
"871","Gap43","Gap43"
"872","Gars","Gars"
"873","Gas1","Gas1"
"874","Gata1","Gata1"
"875","Gata1","LOC100911167"
"876","Gata3","Gata3"
"877","Gata4","Gata4"
"878","Gcg","Gcg"
"879","Gfap","Gfap"
"880","Gja4","Gja4"
"881","Gclm","Gclm"
"882","Glp1r","Glp1r"
"883","Gna15","Gna15"
"884","Gnaq","Gnaq"
"885","Gns","Gns"
"886","Gns","LOC100909505"
"887","Got1","Got1"
"888","Got2","Got2"
"889","Grb2","Grb2"
"890","Grn","Grn"
"891","Grik5","Grik5"
"892","Grp","Grp"
"893","Gtf2f1","Gtf2f1"
"894","Guca1b","Guca1b"
"895","Hars","Hars1"
"896","Htt","Htt"
"897","Hivep1","Hivep1"
"898","H2-Oa","RT1-DOa"
"899","H2-Ob","RT1-DOb"
"900","H2-Ab1","RT1-Bb"
"901","Hmgcs1","Hmgcs1"
"902","Hmox2","Hmox2"
"903","Nr4a1","Nr4a1"
"904","Hoxb1","Hoxb1"
"905","Hoxb3","Hoxb3"
"906","Hoxd10","Hoxd10"
"907","Hpd","Hpd"
"908","Hspa4","Hspa4"
"909","Hspd1","Hspd1"
"910","Irf8","Irf8"
"911","Id1","Id1"
"912","Id2","Id2"
"913","Id3","Id3"
"914","Ifnb1","Ifnb1"
"915","Igfbp6","Igfbp6"
"916","Ighmbp2","Ighmbp2"
"917","Il1rap","Il1rap"
"918","Il6st","Il6st"
"919","Il7r","Il7r"
"920","Il12b","Il12b"
"921","Il13","Il13"
"922","Il15ra","Il15ra"
"923","Il17a","Il17a"
"924","Inha","Inha"
"925","Inhba","Inhba"
"926","Inhbb","Inhbb"
"927","Inpp1","Inpp1"
"928","Aco1","Aco1"
"929","Irf1","Irf1"
"930","Irf2","Irf2"
"931","Isl1","Isl1"
"932","Itga2","Itga2"
"933","Itga9","Itga9"
"934","Itgal","Itgal"
"935","Itih1","Itih1"
"937","Itih3","Itih3"
"938","Itih4","Itih4"
"939","Itpka","Itpka"
"940","Itpkb","Itpkb"
"941","Itpr1","Itpr1"
"942","Itpr3","Itpr3"
"943","Ivd","Ivd"
