"","Symbol_Rat","Symbol_Human"
"76","Gjb1","GJB1"
"77","Gli3","GLI3"
"78","Gldc","GLDC"
"79","Glra3","GLRA3"
"80","Gp1ba","GP1BA"
"81","Gp9","GP9"
"82","Gpi","GPI"
"83","Gsn","GSN"
"84","Gss","GSS"
"85","Msh6","MSH6"
"86","Hadha","HADHA"
"87","Hadhb","HADHB"
"88","Hgd","HGD"
"89","Hmbs","HMBS"
"90","Hmgcl","HMGCL"
"91","Tbx5","TBX5"
"92","Hps1","HPS1"
"93","Icam1","ICAM1"
"94","Ids","IDS"
"95","Idua","IDUA"
"96","Cfi","CFI"
"97","Il2rg","IL2RG"
"98","Ins2","INS"
"99","Pdx1","PDX1"
"100","Itgb4","ITGB4"
"101","Jag1","JAG1"
"102","Jak3","JAK3"
"103","Kcna1","KCNA1"
"104","Kcne1","KCNE1B"
"105","Kit","KIT"
"106","Krt12","KRT12"
"107","Lamb3","LAMB3"
"108","Lep","LEP"
"109","Sgcg","SGCG"
"110","Sgcb","SGCB"
"111","Lig1","LIG1"
"112","LOC100911727","LIG1"
"113","Lipc","LIPC"
"114","Lpl","LPL"
"115","Kcnh2","KCNH2"
"116","Maoa","MAOA"
"117","Met","MET"
"118","Ciita","CIITA"
"119","Mlh1","MLH1"
"120","Msh2","MSH2"
"121","Mttp","MTTP"
"122","Mybpc3","MYBPC3"
"123","Myo7a","MYO7A"
"124","Myoc","MYOC"
"125","Naga","NAGA"
"126","Naglu","NAGLU"
"127","Ptch1","PTCH1"
"128","Nf1","NF1"
"129","Pnp","PNP"
"130","Npc1","NPC1"
"131","Nphp1","NPHP1"
"132","Gpr143","GPR143"
"133","Oat","OAT"
"134","Ocrl","OCRL"
"135","Pah","PAH"
"136","Pcca","PCCA"
"137","Pde6b","PDE6B"
"138","Pepd","PEPD"
"139","LOC100909787","PEX12"
"140","Pex12","PEX12"
"141","Pex7","PEX7"
"142","Phka2","PHKA2"
"143","Phkb","PHKB"
"144","Pkd1","PKD1"
"145","Pkp1","PKP1"
"146","Pla2g2a","PLA2G2A"
"147","Plod1","PLOD1"
"148","Pmm2","PMM2"
"149","Pou1f1","POU1F1"
"150","Pou3f4","POU3F4"
"151","Ppox","PPOX"
"152","Pros1","PROS1"
"153","Pten","PTEN"
"154","Pth","PTH"
"155","Pth1r","PTH1R"
"156","Pts","PTS"
"157","Pex2","PEX2"
"158","Pex5","PEX5"
"159","Qdpr","QDPR"
"160","Rb1","RB1"
"161","Prph2","PRPH2"
"162","Rom1","ROM1"
"163","Rs1","RS1"
"164","Atxn1","ATXN1"
"165","Scn4a","SCN4A"
"166","Sgcd","SGCD"
"167","Slc12a1","SLC12A1"
"168","Slc12a3","SLC12A3"
"169","Smn1","SMN1"
"170","Smn1","SMN2"
"171","Snca","SNCA"
"172","Sox9","SOX9"
"173","Sptb","SPTB"
"174","Star","STAR"
"175","Abca4","ABCA4"
"176","Tcn2","TCN2"
"177","Tgm1","TGM1"
"178","Th","TH"
"179","Thbd","THBD"
"180","Tnni3","TNNI3"
"181","Tpmt","TPMT"
"182","Tsc1","TSC1"
"183","Tshr","TSHR"
"184","Ttr","TTR"
"185","Umps","UMPS"
"186","Urod","UROD"
"187","Xdh","XDH"
"188","Aire","AIRE"
"189","Apob","APOB"
"190","Blmh","BLMH"
"191","Slc25a20","SLC25A20"
"192","Casr","CASR"
"193","Cdkn1a","CDKN1A"
"194","Chm","CHM"
"195","Tpp1","TPP1"
"196","Csf2rb","CSF2RB"
"197","Ercc2","ERCC2"
"198","Ext2","EXT2"
"199","Gale","GALE"
"200","Gm2a","GM2A"
"201","Gnrhr","GNRHR"
"202","Gpd2","GPD2"
"203","Guca1a","GUCA1A"
"204","Hsd17b4","HSD17B4"
"205","Ifngr1","IFNGR1"
"206","Il2ra","IL2RA"
"207","Kel","KEL"
"208","Krt17","KRT17"
"209","Ltbp2","LTBP2"
"210","Pafah1b1","PAFAH1B1"
"211","Mvk","MVK"
"212","Ncf2","NCF2"
"213","Neu1","NEU1"
"214","Notch3","NOTCH3"
"215","Oxct1","OXCT1"
"216","Pde6a","PDE6A"
"217","Plec","PLEC"
"218","Pon2","PON2"
"219","Psen2","PSEN2"
"220","Rag1","RAG1"
"221","Rfx5","RFX5"
"222","Sele","SELE"
"223","Slc10a2","SLC10A2"
"224","Sod1","SOD1"
"225","Stk11","STK11"
"226","Suox","SUOX"
"227","Hnf4a","HNF4A"
"228","Hnf1b","HNF1B"
"229","Tek","TEK"
"230","LOC100910397","THPO"
"231","Thpol1","THPO"
"232","Bard1","BARD1"
"233","Twist1","TWIST1"
"234","Nr0b1","NR0B1"
"235","Alb","ALB"
"236","Ampd3","AMPD3"
"237","Amt","AMT"
"238","Aprt","APRT"
"239","Atrx","ATRX"
"240","Avp","AVP"
"241","C1qb","C1QB"
"242","Crybb2","CRYBB2"
"243","F12","F12"
"244","F2","F2"
"245","Fga","FGA"
"246","Fgg","FGG"
"247","Fshb","FSHB"
"249","Gdnf","GDNF"
"250","Hexb","HEXB"
"251","Kcnj11","KCNJ11"
"252","Vldlr","VLDLR"
"253","Mc2r","MC2R"
"254","Mpz","MPZ"
"255","Otc","OTC"
"256","Pccb","PCCB"
"257","Plp1","PLP1"
"258","Pms1","PMS1"
"259","Rfxap","RFXAP"
"260","Sag","SAG"
"261","Sftpb","SFTPB"
"262","Smpd1","SMPD1"
"263","Hnf1a","HNF1A"
"264","Tp53","TP53"
"265","Tpo","TPO"
"266","Tsc2","TSC2"
"267","Tshb","TSHB"
"268","Tyrp1","TYRP1"
"269","Vhl","VHL"
"270","Vwf","VWF"
"271","Crx","CRX"
"272","Gdf5","GDF5"
"273","Hba-a3","HBA1"
"274","Hba-a3","HBA2"
"275","C8a","C8A"
"276","Il5ra","IL5RA"
"277","Il6r","IL6R"
"278","Fcgr1a","FCGR1A"
"279","Fcgr3a","FCGR3A"
"280","Fcgr3a","FCGR3B"
"281","Il10","IL10"
"282","Cd55","CD55"
"283","Il1a","IL1A"
"284","Il1b","IL1B"
"285","Gc","GC"
"286","Il15","IL15"
"287","Il2","IL2"
"288","C7","C7"
"289","Il4","IL4"
"290","Il9","IL9"
"291","Cd14","CD14"
"292","Tap1","TAP1"
"293","Tnf","TNF"
"294","Lta","LTA"
"295","Igfbp1","IGFBP1"
"296","Igfbp2","IGFBP2"
"297","Igfbp3","IGFBP3"
"298","Il6","IL6"
"299","Hgf","HGF"
"300","Nos3","NOS3"
"301","C8g","C8G"
"302","Cd44","CD44"
"303","Igf2","IGF2"
"304","Hpx","HPX"
"305","Cd4","CD4"
"306","Igf1","IGF1"
"307","Bdkrb2","BDKRB2"
"308","Cd79b","CD79B"
"309","Ltbp1","LTBP1"
"310","Il10rb","IL10RB"
"311","Ifnar1","IFNAR1"
"312","Ncf4","NCF4"
"313","Itgam","ITGAM"
"314","Bcl2","BCL2"
"315","Sod2","SOD2"
"316","Gsr","GSR"
"317","Vtn","VTN"
"318","Faslg","FASLG"
"319","Il13ra2","IL13RA2"
"320","Il11","IL11"
"321","Agl","AGL"
"322","Sell","SELL"
"323","Tgfb1","TGFB1"
"324","Abat","ABAT"
"325","Ache","ACHE"
"326","Adra1d","ADRA1D"
"327","Adra2b","ADRA2B"
"328","Ahcy","AHCY"
"329","Alox12","ALOX12"
"330","Alox5","ALOX5"
"331","Anxa1","ANXA1"
"332","Atp1a1","ATP1A1"
"333","Avpr1a","AVPR1A"
"334","Bckdha","BCKDHA"
"335","Bdkrb1","BDKRB1"
"336","Blvra","BLVRA"
"337","Blvrb","BLVRB"
"338","Tspo","TSPO"
"339","Cacna1d","CACNA1D"
"340","Cacna2d1","CACNA2D1"
"341","Cacng1","CACNG1"
"342","Cck","CCK"
"343","Cd3d","CD3D"
"344","Cd3e","CD3E"
"345","Cga","CGA"
"346","Chrna3","CHRNA3"
"347","Chrna4","CHRNA4"
"348","Chrna7","CHRNA7"
"349","Chrnb1","CHRNB1"
"350","Chrnb2","CHRNB2"
"351","Crat","CRAT"
"352","Crh","CRH"
"353","Csf2","CSF2"
"354","Csf3r","CSF3R"
"355","Dbh","DBH"
"356","Dck","DCK"
"357","Ddc","DDC"
"358","Dio1","DIO1"
"359","Dio2","DIO2"
"360","Drd3","DRD3"
"361","Epo","EPO"
"362","Fgf1","FGF1"
"363","Folr2","FOLR2"
"364","Gast","GAST"
"365","Gabra1","GABRA1"
"366","Gabra4","GABRA4"
"367","Gabrb3","GABRB3"
"368","Gad1","GAD1"
"369","Gart","GART"
"370","Gas6","GAS6"
"371","Ggcx","GGCX"
"372","Ghrhr","GHRHR"
"373","Gnrh1","GNRH1"
"374","Grin2a","GRIN2A"
"375","Grin2b","GRIN2B"
"376","Grin2c","GRIN2C"
"377","Grin2d","GRIN2D"
"378","Grm1","GRM1"
"379","Grm3","GRM3"
"380","Grm8","GRM8"
"381","Gstm5","GSTM3"
"382","LOC100912430","GSTM3"
"383","Gstp1","GSTP1"
"384","Gucy1b1","GUCY1B1"
"385","Guk1","GUK1"
"386","Hrh1","HRH1"
"387","Htr1b","HTR1B"
"388","Htr3a","HTR3A"
"389","Htr6","HTR6"
"390","Icam2","ICAM2"
"391","Igf2r","IGF2R"
"392","Il1r1","IL1R1"
"393","Il5","IL5"
"394","Il7","IL7"
"395","Il12a","IL12A"
"396","Itgb6","ITGB6"
"397","Kitlg","KITLG"
"398","Mgp","MGP"
"399","Nqo1","NQO1"
"400","Nqo2","NQO2"
"401","LOC100912228","NPY"
"402","Npy","NPY"
"403","Npr3","NPR3"
"404","Npy1r","NPY1R"
"405","Npy2r","NPY2R"
"406","Pde3a","PDE3A"
"407","Pde3b","PDE3B"
"408","Pdhb","PDHB"
"409","Pgr","PGR"
"410","Pla2g1b","PLA2G1B"
"411","Pla2g5","PLA2G5"
"412","Plat","PLAT"
"413","Serpinf2","SERPINF2"
"414","Polr2a","POLR2A"
"415","Polr2b","POLR2B"
"416","Pomc","POMC"
"417","Por","POR"
"418","Ppib","PPIB"
"419","Ppic","PPIC"
"420","Prim2","PRIM2"
"421","Prl","PRL"
"422","Prlr","PRLR"
"423","Prrg1","PRRG1"
"424","Prrg2","PRRG2"
"425","Ptgdr","PTGDR"
"426","Ptgdrl","PTGDR"
"427","Ptgds","PTGDS"
"428","Ptger1","PTGER1"
"429","Ptger2","PTGER2"
"430","Ptgfr","PTGFR"
"431","Ptgs1","PTGS1"
"432","Rpl3","RPL3"
"433","Rpl4","RPL4"
"434","Rpl18","RPL18"
"435","Rpl24","RPL24"
"436","LOC100362027","RPL30"
"437","Rpl30","RPL30"
"438","Rpl28","RPL28"
"439","LOC100912182","RPL36A"
"440","Rps3","RPS3"
"441","Rps5","RPS5"
"442","Rps10","RPS10"
"443","Rps10l1","RPS10"
"444","Rps16","RPS16"
"445","Rps23","RPS23"
"446","Rps27","RPS27"
"447","Rrm1","RRM1"
"448","Scn1b","SCN1B"
"449","Scnn1a","SCNN1A"
"450","Shbg","SHBG"
"451","Slc6a2","SLC6A2"
"452","Slc6a4","SLC6A4"
"453","Sst","SST"
"454","Sstr1","SSTR1"
"455","Tacr3","TACR3"
"456","Tbxa2r","TBXA2R"
"458","Tnfrsf1a","TNFRSF1A"
"459","Tnfrsf1b","TNFRSF1B"
"460","Top2a","TOP2A"
"461","Tubg1","TUBG1"
"462","Tyms","TYMS"
"463","Vcam1","VCAM1"
"464","Zap70","ZAP70"
"465","Aldh5a1","ALDH5A1"
"466","Pde5a","PDE5A"
"467","Plod3","PLOD3"
"468","Aamp","AAMP"
"469","Abcf1","ABCF1"
"470","Acly","ACLY"
"471","Acr","ACR"
"472","Aco2","ACO2"
"474","Acvr2b","ACVR2B"
"475","Adam10","ADAM10"
"476","Adcy7","ADCY7"
"477","Adcy9","ADCY9"
"478","Adcyap1","ADCYAP1"
"479","Adcyap1r1","ADCYAP1R1"
"480","Mfsd10","MFSD10"
"481","Plin2","PLIN2"
"482","Adm","ADM"
"483","Adprh","ADPRH"
"484","Adss","ADSS2"
"485","Aebp1","AEBP1"
"486","Tle5","TLE5"
"487","Afm","AFM"
"488","Ager","AGER"
"489","Alox12b","ALOX12B"
"490","Alox15b","ALOX15B"
"491","Amfr","AMFR"
"492","Nudt2","NUDT2"
"493","Apba1","APBA1"
"494","Apbb1","APBB1"
"495","Birc3","BIRC3"
"496","Birc2","BIRC2"
"497","Xiap","XIAP"
"498","Arg2","ARG2"
"499","Arhgap5","ARHGAP5"
"500","Arhgdia","ARHGDIA"
"501","Arntl","ARNTL"
"502","Art3","ART3"
"503","Asgr2","ASGR2"
"504","Aldh7a1","ALDH7A1"
"505","Atp6ap1","ATP6AP1"
"506","Azgp1","AZGP1"
"507","Bach1","BACH1"
"508","LOC100911490","BACH1"
"509","Bak1","BAK1"
"510","Tnfrsf17","TNFRSF17"
"511","Bfsp1","BFSP1"
"512","Bid","BID"
"513","Bik","BIK"
"514","Prdm1","PRDM1"
"515","Bmp2","BMP2"
"516","Bmp3","BMP3"
"517","Bmpr2","BMPR2"
"518","Bnip1","BNIP1"
"519","Klf9","KLF9"
"520","Bub1b","BUB1B"
"521","Calu","CALU"
"522","Cav2","CAV2"
"523","Ccnh","CCNH"
"524","Ccnt1","CCNT1"
"525","Tnfrsf8","TNFRSF8"
"526","Tnfsf8","TNFSF8"
"527","Cd40","CD40"
"528","Cd68","CD68"
"529","Cd70","CD70"
"530","Cdc27","CDC27"
"531","Cdk6","CDK6"
"532","Cdkn2c","CDKN2C"
"533","Cdx2","CDX2"
"534","Rcbtb2","RCBTB2"
"535","Chek1","CHEK1"
"536","Chga","CHGA"
"537","Chuk","CHUK"
"538","Cirbp","CIRBP"
"539","Clca1","CLCA1"
"540","Clcn6","CLCN6"
"541","Clic5","CLIC5"
"542","Ldb2","LDB2"
"543","Clns1a","CLNS1A"
"544","Ackr2","ACKR2"
"545","Cngb1","CNGB1"
"546","Cnga3","CNGA3"
"547","Cnn1","CNN1"
"548","Klf6","KLF6"
"549","Cort","CORT"
"550","Cpd","CPD"
"551","Cldn4","CLDN4"
"552","Cldn3","CLDN3"
"553","Cpn1","CPN1"
"554","Crebl2","CREBL2"
"555","Cse1l","CSE1L"
"556","Cst6","CST6"
"557","Cstf1","CSTF1"
"558","Cstf3","CSTF3"
"559","Ctbp1","CTBP1"
"560","Ctf1","CTF1"
"561","Ctnnd1","CTNND1"
"562","Ctsz","CTSZ"
"563","Cxadr","CXADR"
"564","Dab2","DAB2"
"565","Dad1","DAD1"
"566","Dgka","DGKA"
"567","Dgkg","DGKG"
"568","Dars1","DARS1"
"569","Daxx","DAXX"
"570","Dbp","DBP"
"571","Ddt","DDT"
"572","Dhx9","DHX9"
"573","Dhx15","DHX15"
"574","Dhcr7","DHCR7"
"575","Dhodh","DHODH"
"576","Dio3","DIO3"
"577","Dkc1","DKC1"
"578","Dlg2","DLG2"
"579","Dlg4","DLG4"
"580","Dnah8","DNAH8"
"581","Dnase2b","DNASE2B"
"582","Dync1h1","DYNC1H1"
"583","Dok1","DOK1"
"584","Dpagt1","DPAGT1"
"585","Dph1","DPH1"
"586","Dph2","DPH2"
"587","Drg2","DRG2"
"588","Ecm2","ECM2"
"589","LOC100910978","ECM2"
"590","Dusp4","DUSP4"
"591","Dusp9","DUSP9"
"592","Ece1","ECE1"
"593","Ech1","ECH1"
"594","S1pr1","S1PR1"
"595","Lpar1","LPAR1"
"596","Efna2","EFNA2"
"597","Efnb3","EFNB3"
"598","Celsr3","CELSR3"
"599","Celsr2","CELSR2"
"600","Eif2b1","EIF2B1"
"601","Emp1","EMP1"
"602","Emp2","EMP2"
"603","Emp3","EMP3"
"604","Ep300","EP300"
"605","Epas1","EPAS1"
"606","Ereg","EREG"
"607","Fbl","FBL"
"608","Esr2","ESR2"
"609","Extl2","EXTL2"
"610","Extl3","EXTL3"
"611","Fabp1","FABP1"
"612","Fabp6","FABP6"
"613","Fat2","FAT2"
"614","Foxf1","FOXF1"
"615","Foxj1","FOXJ1"
"616","Flna","FLNA"
"617","Frzb","FRZB"
"618","Adam2","ADAM2"
"619","Gabbr1","GABBR1"
"620","B4galnt1","B4GALNT1"
"621","Gas8","GAS8"
"622","Gatm","GATM"
"623","Nipsnap2","NIPSNAP2"
"624","Gbx2","GBX2"
"625","Gckr","GCKR"
"626","Bloc1s1","BLOC1S1"
"627","Gfra2","GFRA2"
"628","Gfra3","GFRA3"
"629","Gclc","GCLC"
"630","Gpld1","GPLD1"
"631","Cxcr3","CXCR3"
"632","Gpx5","GPX5"
"633","Gtf2b","GTF2B"
"634","Gtf2h2","GTF2H2"
"635","Gtf2h3","GTF2H3"
"636","Brf1","BRF1"
"637","Has1","HAS1"
"638","Hcrt","HCRT"
"639","Hcrtr2","HCRTR2"
"640","Hgfac","HGFAC"
"641","Hif1a","HIF1A"
"642","Hnrnpl","HNRNPL"
"643","Hspb1","HSPB1"
"644","Igsf3","IGSF3"
"645","Mrpl58","MRPL58"
"646","Id4","ID4"
"647","Ifit2","IFIT2"
"648","Ifit3","IFIT3"
"649","Igfbp4","IGFBP4"
"650","Igfbp7","IGFBP7"
"651","Ccn1","CCN1"
"652","Igsf1","IGSF1"
"653","Il10ra","IL10RA"
"654","Il12rb2","IL12RB2"
"655","Il13ra1","IL13RA1"
"656","LOC100360218","IL13RA1"
"657","Tnfrsf9","TNFRSF9"
"658","Il18","IL18"
"659","Impg1","IMPG1"
"660","Cxcl10","CXCL10"
"661","Inppl1","INPPL1"
"662","Eif3el1","EIF3E"
"663","Irak2","IRAK2"
"664","Irf3","IRF3"
"665","Pax6","PAX6"
"666","Aars1","AARS1"
"667","Acadsb","ACADSB"
"668","Acp2","ACP2"
"669","Acrv1","ACRV1"
"670","Add2","ADD2"
"671","Parp1","PARP1"
"672","Grk2","GRK2"
"673","Ahr","AHR"
"674","Ahsg","AHSG"
"675","Aif1","AIF1"
"676","Ak2","AK2"
"677","Alcam","ALCAM"
"678","Alox5ap","ALOX5AP"
"679","Ambp","AMBP"
"680","Amd1","AMD1"
"681","Aoah","AOAH"
"682","Apeh","APEH"
"683","Apex1","APEX1"
"684","Apoa2","APOA2"
"685","Apobec1","APOBEC1"
"686","Apoc4","APOC4"
"687","Apod","APOD"
"688","Araf","ARAF"
"689","Arcn1","ARCN1"
"690","Trim23","TRIM23"
"691","Areg","AREG"
"692","Arl4d","ARL4D"
"693","Arf6","ARF6"
"694","Arl2","ARL2"
"695","Arnt","ARNT"
"696","Asgr1","ASGR1"
"697","Asip","ASIP"
"698","Atf3","ATF3"
"699","Atf4","ATF4"
"700","Atp5pf","ATP5PF"
"701","Atp5f1b","ATP5F1B"
"702","Atp5pb","ATP5PB"
"703","LOC100911417","ATP5PB"
"704","Atp6v1b2","ATP6V1B2"
"705","Atp6v1c1","ATP6V1C1"
"706","Atp6v1e1","ATP6V1E1"
"707","Atp5po","ATP5PO"
"708","Auh","AUH"
"709","Baat","BAAT"
"710","Adgrb1","ADGRB1"
"711","Adgrb2","ADGRB2"
"712","Adgrb3","ADGRB3"
"713","Opn1sw","OPN1SW"
"714","Cfb","CFB"
"715","Bgn","BGN"
"716","Bhmt","BHMT"
"717","Blk","BLK"
"718","Cxcr5","CXCR5"
"719","Bmp6","BMP6"
"720","Tec","TEC"
"721","Polr3d","POLR3D"
"722","Brs3","BRS3"
"723","Bsg","BSG"
"724","Btc","BTC"
"725","Btn1a1","BTN1A1"
"726","C1r","C1R"
"727","C1s","C1S"
"728","Calb2","CALB2"
"729","Calcr","CALCR"
"730","Camlg","CAMLG"
"731","Canx","CANX"
"732","Capn2","CAPN2"
"733","Capns1","CAPNS1"
"734","LOC100911363","CAPNS1"
"735","LOC100912380","CAPNS1"
"736","Cars","CARS1"
"737","Cav1","CAV1"
"738","Runx1","RUNX1"
"739","Ccnd1","CCND1"
"740","Ccnf","CCNF"
"741","Cct6a","CCT6A"
"742","Cd1d1","CD1D"
"743","Cd2","CD2"
"744","Cd19","CD19"
"745","Cd34","CD34"
"746","LOC100911324","CD34"
"747","Cd38","CD38"
"748","Cd47","CD47"
"749","Cd48","CD48"
"750","Cd72","CD72"
"751","Cda","CDA"
"752","LOC100909857","CDA"
"753","Septin7","SEPTIN7"
"754","Cdc25a","CDC25A"
"755","Cdc25c","CDC25C"
"756","Cdh5","CDH5"
"757","Cdh11","CDH11"
"758","Cdk7","CDK7"
"759","Cdo1","CDO1"
"760","Cdx1","CDX1"
"761","Cebpe","CEBPE"
"762","Cebpg","CEBPG"
"763","Cenpa","CENPA"
"764","Cenpc","CENPC"
"765","Ctsc","CTSC"
"766","Chgb","CHGB"
"767","Clu","CLU"
"768","Clps","CLPS"
"769","Clta","CLTA"
"770","Ccr7","CCR7"
"771","Cnr2","CNR2"
"772","Col4a2","COL4A2"
"773","Col6a1","COL6A1"
"774","Col6a2","COL6A2"
"775","Col9a1","COL9A1"
"776","Col16a1","COL16A1"
"777","Slc31a1","SLC31A1"
"778","Cox7b","COX7B"
"779","Cad","CAD"
"780","Cpt1a","CPT1A"
"781","Crhbp","CRHBP"
"782","Hapln1","HAPLN1"
"783","Cryba4","CRYBA4"
"784","Crybb1","CRYBB1"
"785","Crym","CRYM"
"786","Csn2","CSN2"
"787","Ccn2","CCN2"
"788","Cth","CTH"
"789","Ctnna1","CTNNA1"
"790","Ctnnb1","CTNNB1"
"791","Dbt","DBT"
"792","Dct","DCT"
"793","Ddb1","DDB1"
"794","Gadd45a","GADD45A"
"795","Dhps","DHPS"
"796","Mpp7","MPP7"
"797","Dlst","DLST"
"798","Atn1","ATN1"
"799","LOC100911672","ATN1"
"800","Dsc3","DSC3"
"801","Dsg1","DSG1"
"802","Dsg2","DSG2"
"803","Hbegf","HBEGF"
"804","Dusp7","DUSP7"
"805","E2f4","E2F4"
"806","E2f5","E2F5"
"807","E2f6","E2F6"
"808","Tymp","TYMP"
"809","Edn1","EDN1"
"810","Edn2","EDN2"
"811","Ednra","EDNRA"
"812","Eef1b2","EEF1B2"
"813","Efna5","EFNA5"
"814","Egf","EGF"
"815","Egr4","EGR4"
"816","Ehhadh","EHHADH"
"817","Eif4a2","EIF4A2"
"818","Eif5a2","EIF5A2"
"819","Elk4","ELK4"
"820","Adgre1","ADGRE1"
"821","Dmtn","DMTN"
"822","Ercc1","ERCC1"
"823","Etfb","ETFB"
"824","Etv4","ETV4"
"825","Evpl","EVPL"
"826","Evx1","EVX1"
"827","LOC100911889","EVX1"
"828","Eya3","EYA3"
"829","F2r","F2R"
"830","F3","F3"
"831","Fbln2","FBLN2"
"832","Fbn2","FBN2"
"833","Fcer1a","FCER1A"
"834","Fcer2","FCER2"
"835","Fcnb","FCN1"
"836","Fdps","FDPS"
"837","Fgf2","FGF2"
"838","Fgf4","FGF4"
"839","Fgf9","FGF9"
"840","Fkbp3","FKBP3"
"841","Foxo1","FOXO1"
"842","Fmod","FMOD"
"843","Fmr1","FMR1"
"845","Fn1","FN1"
"846","Fnta","FNTA"
"847","Fntb","FNTB"
"848","Fut4","FUT4"
"849","Kdsr","KDSR"
"850","Gab1","GAB1"
"851","Gabpa","GABPA"
"852","Gap43","GAP43"
"853","Gars","GARS1"
"854","Gas1","GAS1"
"855","Gata1","GATA1"
"856","LOC100911167","GATA1"
"857","Gata3","GATA3"
"858","Gata4","GATA4"
"860","Gfap","GFAP"
"861","Gja4","GJA4"
"862","Gclm","GCLM"
"863","Glp1r","GLP1R"
"864","Gna15","GNA15"
"865","Gnaq","GNAQ"
"866","Gns","GNS"
"867","LOC100909505","GNS"
"868","Got1","GOT1"
"869","Got2","GOT2"
"870","Grb2","GRB2"
"871","Grn","GRN"
"872","Grik5","GRIK5"
"873","Grp","GRP"
"874","Gtf2f1","GTF2F1"
"875","Guca1b","GUCA1B"
"876","Hars1","HARS1"
"877","Htt","HTT"
"878","Hivep1","HIVEP1"
"879","RT1-DOa","HLA-DOA"
"880","RT1-DOb","HLA-DOB"
"881","RT1-Bb","HLA-DQB1"
"882","Hmgcs1","HMGCS1"
"883","Hmox2","HMOX2"
"884","Nr4a1","NR4A1"
"885","Hoxb1","HOXB1"
"886","Hoxb3","HOXB3"
"887","Hoxd10","HOXD10"
"888","Hpd","HPD"
"889","Hspa4","HSPA4"
"890","Hspd1","HSPD1"
"891","Irf8","IRF8"
"892","Id1","ID1"
"893","Id2","ID2"
"894","Id3","ID3"
"895","Ifnb1","IFNB1"
"896","Igfbp6","IGFBP6"
"897","Ighmbp2","IGHMBP2"
"898","Il1rap","IL1RAP"
"899","Il6st","IL6ST"
"900","Il7r","IL7R"
"901","Il12b","IL12B"
"902","Il13","IL13"
"903","Il15ra","IL15RA"
"904","Il17a","IL17A"
"905","Inha","INHA"
"906","Inhba","INHBA"
"907","Inhbb","INHBB"
"908","Inpp1","INPP1"
"909","Aco1","ACO1"
"910","Irf1","IRF1"
"911","Irf2","IRF2"
"912","Isl1","ISL1"
"913","Itga2","ITGA2"
"914","Itga9","ITGA9"
"915","Itgal","ITGAL"
"916","Itih1","ITIH1"
"917","Itih3","ITIH3"
"918","Itih4","ITIH4"
"919","Itpka","ITPKA"
"920","Itpkb","ITPKB"
"921","Itpr1","ITPR1"
"922","Itpr3","ITPR3"
"923","Ivd","IVD"
"924","Jag2","JAG2"
"925","Jak1","JAK1"
"926","Jun","JUN"
"927","Jup","JUP"
"928","Kcna5","KCNA5"
"929","Kcna6","KCNA6"
"930","Kcnj3","KCNJ3"
"931","Kcnj6","KCNJ6"
"932","Kcnj10","KCNJ10"
"933","Kcnj15","KCNJ15"
"934","Kcnk1","KCNK1"
"935","Kcnk3","KCNK3"
"936","Kcnma1","KCNMA1"
"937","Kcnn4","KCNN4"
"938","Kiss1","KISS1"
"939","Klrd1","KLRD1"
