"","Symbol_Mouse","Symbol_Human"
"76","Gjb1","GJB1"
"77","Gli3","GLI3"
"78","Gldc","GLDC"
"79","Glra3","GLRA3"
"80","Gp1ba","GP1BA"
"81","Gp9","GP9"
"82","Gpi1","GPI"
"83","Gsn","GSN"
"84","Gss","GSS"
"85","Msh6","MSH6"
"86","Hadha","HADHA"
"87","Hadhb","HADHB"
"88","Hgd","HGD"
"89","Hmbs","HMBS"
"90","Hmgcl","HMGCL"
"91","Tbx5","TBX5"
"92","Hps1","HPS1"
"93","Sgsh","SGSH"
"94","Icam1","ICAM1"
"95","Ids","IDS"
"96","Idua","IDUA"
"97","Cfi","CFI"
"98","Il2rg","IL2RG"
"99","Ins2","INS"
"100","Pdx1","PDX1"
"101","Itgb4","ITGB4"
"102","Jag1","JAG1"
"103","Jak3","JAK3"
"104","Kcna1","KCNA1"
"105","Kcne1","KCNE1B"
"106","Kit","KIT"
"107","Krt12","KRT12"
"108","Lamb3","LAMB3"
"109","Lep","LEP"
"110","Sgcg","SGCG"
"111","Sgcb","SGCB"
"112","Lig1","LIG1"
"113","Lipc","LIPC"
"114","Lpl","LPL"
"115","Kcnh2","KCNH2"
"116","Maoa","MAOA"
"117","Met","MET"
"118","Ciita","CIITA"
"119","Mlh1","MLH1"
"120","Msh2","MSH2"
"121","Mttp","MTTP"
"122","Mybpc3","MYBPC3"
"123","Myo7a","MYO7A"
"124","Myoc","MYOC"
"125","Naga","NAGA"
"126","Naglu","NAGLU"
"127","Ptch1","PTCH1"
"128","Ndp","NDP"
"129","Nf1","NF1"
"130","Pnp","PNP"
"131","Pnp2","PNP"
"132","Npc1","NPC1"
"133","Nphp1","NPHP1"
"134","Gpr143","GPR143"
"135","Oat","OAT"
"136","Ocrl","OCRL"
"137","Pah","PAH"
"138","Pcca","PCCA"
"139","Pde6b","PDE6B"
"140","Pepd","PEPD"
"141","Pex12","PEX12"
"142","Pex7","PEX7"
"143","Phka2","PHKA2"
"144","Phkb","PHKB"
"145","Pkd1","PKD1"
"146","Pkp1","PKP1"
"147","Plod1","PLOD1"
"148","Pmm2","PMM2"
"149","Pou1f1","POU1F1"
"150","Pou3f4","POU3F4"
"151","Ppox","PPOX"
"152","Pros1","PROS1"
"153","Pten","PTEN"
"154","Pth","PTH"
"155","Pth1r","PTH1R"
"156","Pts","PTS"
"157","Pex2","PEX2"
"158","Pex5","PEX5"
"159","Qdpr","QDPR"
"160","Rb1","RB1"
"161","Prph2","PRPH2"
"162","Rom1","ROM1"
"163","Rs1","RS1"
"164","Atxn1","ATXN1"
"165","Scn4a","SCN4A"
"166","Sgcd","SGCD"
"167","Slc12a1","SLC12A1"
"168","Slc12a3","SLC12A3"
"169","Smn1","SMN1"
"170","Smn1","SMN2"
"171","Snca","SNCA"
"172","Sox9","SOX9"
"173","Sptb","SPTB"
"174","Star","STAR"
"175","Abca4","ABCA4"
"176","Tcn2","TCN2"
"177","Tgm1","TGM1"
"178","Th","TH"
"179","Thbd","THBD"
"180","Tnni3","TNNI3"
"181","Tpmt","TPMT"
"182","Tsc1","TSC1"
"183","Tshr","TSHR"
"184","Ttr","TTR"
"185","Umps","UMPS"
"186","Urod","UROD"
"187","Xdh","XDH"
"188","Aire","AIRE"
"189","Apob","APOB"
"190","Blmh","BLMH"
"191","Slc25a20","SLC25A20"
"192","Casr","CASR"
"193","Cdkn1a","CDKN1A"
"194","Chm","CHM"
"195","Tpp1","TPP1"
"196","Csf2rb","CSF2RB"
"197","Csf2rb2","CSF2RB"
"198","Ercc2","ERCC2"
"199","Ext2","EXT2"
"200","Gale","GALE"
"201","Gm2a","GM2A"
"202","Gnrhr","GNRHR"
"203","Gpd2","GPD2"
"204","Guca1a","GUCA1A"
"205","Hsd17b4","HSD17B4"
"206","Ifngr1","IFNGR1"
"207","Il2ra","IL2RA"
"208","Kel","KEL"
"209","Krt17","KRT17"
"210","Ltbp2","LTBP2"
"211","Pafah1b1","PAFAH1B1"
"212","Mvk","MVK"
"213","Ncf2","NCF2"
"214","Neu1","NEU1"
"215","Notch3","NOTCH3"
"216","Oxct1","OXCT1"
"217","Pcsk1","PCSK1"
"218","Pde6a","PDE6A"
"219","Plec","PLEC"
"220","Pon2","PON2"
"221","Psen2","PSEN2"
"222","Rag1","RAG1"
"223","Sele","SELE"
"224","Slc10a2","SLC10A2"
"225","Sod1","SOD1"
"226","Stk11","STK11"
"227","Suox","SUOX"
"228","Hnf4a","HNF4A"
"229","Hnf1b","HNF1B"
"230","Tek","TEK"
"231","Thpo","THPO"
"232","Bard1","BARD1"
"233","Twist1","TWIST1"
"234","Nr0b1","NR0B1"
"235","Alb","ALB"
"236","Ampd3","AMPD3"
"237","Amt","AMT"
"238","Aprt","APRT"
"239","Atrx","ATRX"
"240","Avp","AVP"
"241","C1qb","C1QB"
"242","Crybb2","CRYBB2"
"243","F12","F12"
"244","F2","F2"
"245","Fga","FGA"
"246","Fgg","FGG"
"247","Fshb","FSHB"
"249","Gdnf","GDNF"
"250","Hexb","HEXB"
"251","Kcnj11","KCNJ11"
"252","Vldlr","VLDLR"
"253","Mc2r","MC2R"
"254","Mpz","MPZ"
"255","Otc","OTC"
"256","Pccb","PCCB"
"257","Plp1","PLP1"
"258","Pms1","PMS1"
"259","Rfxap","RFXAP"
"260","Sag","SAG"
"261","Sftpb","SFTPB"
"262","Smpd1","SMPD1"
"263","Hnf1a","HNF1A"
"264","Trp53","TP53"
"265","Tpo","TPO"
"266","Tsc2","TSC2"
"267","Tshb","TSHB"
"268","Tyrp1","TYRP1"
"269","Vhl","VHL"
"270","Vwf","VWF"
"271","Crx","CRX"
"272","Gdf5","GDF5"
"273","Hba-a1","HBA1"
"274","Hba-a1","HBA2"
"275","Hba-a2","HBA1"
"276","Hba-a2","HBA2"
"277","C8a","C8A"
"278","Il5ra","IL5RA"
"279","Il6ra","IL6R"
"280","Fcgr1","FCGR1A"
"281","Fcgr4","FCGR3A"
"282","Fcgr4","FCGR3B"
"283","Il10","IL10"
"284","Cd55","CD55"
"285","Cd55b","CD55"
"286","Il1a","IL1A"
"287","Il1b","IL1B"
"288","Gc","GC"
"289","Il15","IL15"
"290","Il2","IL2"
"291","C7","C7"
"292","Il4","IL4"
"293","Il9","IL9"
"294","Cd14","CD14"
"295","Tap1","TAP1"
"296","Tnf","TNF"
"297","Lta","LTA"
"298","Igfbp1","IGFBP1"
"299","Igfbp2","IGFBP2"
"300","Igfbp3","IGFBP3"
"301","Il6","IL6"
"302","Hgf","HGF"
"303","Nos3","NOS3"
"304","C8g","C8G"
"305","Cd44","CD44"
"306","Igf2","IGF2"
"307","Hpx","HPX"
"308","Cd4","CD4"
"309","Igf1","IGF1"
"310","Bdkrb2","BDKRB2"
"311","Cd79b","CD79B"
"312","Ltbp1","LTBP1"
"313","Il10rb","IL10RB"
"314","Ifnar1","IFNAR1"
"315","Ncf4","NCF4"
"316","Itgam","ITGAM"
"317","Bcl2","BCL2"
"318","Sod2","SOD2"
"319","Gsr","GSR"
"320","Vtn","VTN"
"321","Fasl","FASLG"
"322","Il13ra2","IL13RA2"
"323","Il11","IL11"
"324","Agl","AGL"
"325","Ccr2","CCR2"
"326","Sell","SELL"
"327","Tgfb1","TGFB1"
"328","Abat","ABAT"
"329","Ache","ACHE"
"330","Adora3","ADORA3"
"331","Adra1d","ADRA1D"
"332","Adra2b","ADRA2B"
"333","Ahcy","AHCY"
"334","Alox12","ALOX12"
"335","Alox5","ALOX5"
"336","Anxa1","ANXA1"
"337","Atp1a1","ATP1A1"
"338","Avpr1a","AVPR1A"
"339","Bckdha","BCKDHA"
"340","Bdkrb1","BDKRB1"
"341","Blvra","BLVRA"
"342","Blvrb","BLVRB"
"343","Tspo","TSPO"
"344","Cacna1d","CACNA1D"
"345","Cacna2d1","CACNA2D1"
"346","Cacng1","CACNG1"
"347","Cck","CCK"
"348","Cd3d","CD3D"
"349","Cd3e","CD3E"
"350","Cga","CGA"
"351","Chrna3","CHRNA3"
"352","Chrna4","CHRNA4"
"353","Chrna7","CHRNA7"
"354","Chrnb1","CHRNB1"
"355","Chrnb2","CHRNB2"
"356","Crat","CRAT"
"357","Crh","CRH"
"358","Csf2","CSF2"
"359","Csf3r","CSF3R"
"360","Dbh","DBH"
"361","Dck","DCK"
"362","Ddc","DDC"
"363","Dio1","DIO1"
"364","Dio2","DIO2"
"365","Drd3","DRD3"
"366","Epo","EPO"
"367","Fgf1","FGF1"
"368","Folr2","FOLR2"
"369","Gast","GAST"
"370","Gabra1","GABRA1"
"371","Gabra4","GABRA4"
"372","Gabrb3","GABRB3"
"373","Gad1","GAD1"
"374","Gart","GART"
"375","Gas6","GAS6"
"376","Ggcx","GGCX"
"377","Ghrhr","GHRHR"
"378","Gnrh1","GNRH1"
"379","Grin2a","GRIN2A"
"380","Grin2b","GRIN2B"
"381","Grin2c","GRIN2C"
"382","Grin2d","GRIN2D"
"383","Grm1","GRM1"
"384","Grm3","GRM3"
"385","Grm8","GRM8"
"386","Gstm5","GSTM3"
"387","Gstp1","GSTP1"
"388","Gstp2","GSTP1"
"389","Gstp-ps","GSTP1"
"390","Gucy1b1","GUCY1B1"
"391","Guk1","GUK1"
"392","Hrh1","HRH1"
"393","Htr1b","HTR1B"
"394","Htr3a","HTR3A"
"395","Htr6","HTR6"
"396","Icam2","ICAM2"
"397","Igf2r","IGF2R"
"398","Il1r1","IL1R1"
"399","Il5","IL5"
"400","Il7","IL7"
"401","Il12a","IL12A"
"402","Itgb6","ITGB6"
"403","Kitl","KITLG"
"404","Mgp","MGP"
"405","Nqo1","NQO1"
"406","Nqo2","NQO2"
"407","Npy","NPY"
"408","Npr3","NPR3"
"409","Npy1r","NPY1R"
"410","Npy2r","NPY2R"
"411","Pde3a","PDE3A"
"412","Pde3b","PDE3B"
"413","Pdhb","PDHB"
"414","Pgr","PGR"
"415","Pla2g1b","PLA2G1B"
"416","Pla2g5","PLA2G5"
"417","Plat","PLAT"
"418","Serpinf2","SERPINF2"
"419","Polr2a","POLR2A"
"420","Polr2b","POLR2B"
"421","Pomc","POMC"
"422","Por","POR"
"423","Ppib","PPIB"
"424","Ppic","PPIC"
"425","Prim1","PRIM1"
"426","Prim2","PRIM2"
"427","Prl","PRL"
"428","Prlr","PRLR"
"429","Prrg1","PRRG1"
"430","Prrg2","PRRG2"
"431","Ptgdr","PTGDR"
"432","Ptgds","PTGDS"
"433","Ptger1","PTGER1"
"434","Ptger2","PTGER2"
"435","Ptgfr","PTGFR"
"436","Ptgs1","PTGS1"
"437","Rpl3","RPL3"
"438","Rpl4","RPL4"
"439","Rpl18","RPL18"
"440","Rpl24","RPL24"
"441","Rpl30","RPL30"
"442","Rpl28","RPL28"
"443","Rps3","RPS3"
"444","Rps5","RPS5"
"445","Rps10","RPS10"
"446","Rps16","RPS16"
"447","Rps23","RPS23"
"448","Rrm1","RRM1"
"449","Scn1b","SCN1B"
"450","Scnn1a","SCNN1A"
"451","Shbg","SHBG"
"452","Slc6a2","SLC6A2"
"453","Slc6a4","SLC6A4"
"454","Sst","SST"
"455","Sstr1","SSTR1"
"456","Tacr3","TACR3"
"457","Tbxa2r","TBXA2R"
"459","Tnfrsf1a","TNFRSF1A"
"460","Tnfrsf1b","TNFRSF1B"
"461","Top2a","TOP2A"
"462","Tubg1","TUBG1"
"463","Tyms","TYMS"
"464","Vcam1","VCAM1"
"465","Zap70","ZAP70"
"466","Aldh5a1","ALDH5A1"
"467","Pde5a","PDE5A"
"468","Plod3","PLOD3"
"469","Aamp","AAMP"
"470","Abcf1","ABCF1"
"471","Acly","ACLY"
"472","Acr","ACR"
"473","Aco2","ACO2"
"475","Acvr2b","ACVR2B"
"476","Adam10","ADAM10"
"477","Adcy7","ADCY7"
"478","Adcy9","ADCY9"
"479","Adcyap1","ADCYAP1"
"480","Adcyap1r1","ADCYAP1R1"
"481","Mfsd10","MFSD10"
"482","Plin2","PLIN2"
"483","Adm","ADM"
"484","Adprh","ADPRH"
"485","Adss","ADSS2"
"486","Aebp1","AEBP1"
"487","Tle5","TLE5"
"488","Afm","AFM"
"489","Ager","AGER"
"490","Alox12b","ALOX12B"
"491","Alox8","ALOX15B"
"492","Amfr","AMFR"
"493","Nudt2","NUDT2"
"494","Apba1","APBA1"
"495","Apbb1","APBB1"
"496","Birc3","BIRC3"
"497","Birc2","BIRC2"
"498","Xiap","XIAP"
"499","Arg2","ARG2"
"500","Arhgap5","ARHGAP5"
"501","Arhgdia","ARHGDIA"
"502","Arntl","ARNTL"
"503","Art3","ART3"
"504","Asgr2","ASGR2"
"505","Aldh7a1","ALDH7A1"
"506","Atp6ap1","ATP6AP1"
"507","Azgp1","AZGP1"
"508","Bach1","BACH1"
"509","Bak1","BAK1"
"510","Tnfrsf17","TNFRSF17"
"511","Bfsp1","BFSP1"
"512","Bid","BID"
"513","Bik","BIK"
"514","Prdm1","PRDM1"
"515","Bmp2","BMP2"
"516","Bmp3","BMP3"
"517","Bmpr2","BMPR2"
"518","Bnip1","BNIP1"
"519","Klf9","KLF9"
"520","Bub1b","BUB1B"
"521","Calu","CALU"
"522","Cav2","CAV2"
"523","Ccnh","CCNH"
"524","Ccnt1","CCNT1"
"525","Tnfrsf8","TNFRSF8"
"526","Tnfsf8","TNFSF8"
"527","Cd40","CD40"
"528","Cd68","CD68"
"529","Cd70","CD70"
"530","Cdc27","CDC27"
"531","Cdk6","CDK6"
"532","Cdkn2c","CDKN2C"
"533","Cdx2","CDX2"
"534","Rcbtb2","RCBTB2"
"535","Chek1","CHEK1"
"536","Chga","CHGA"
"537","Chuk","CHUK"
"538","Cirbp","CIRBP"
"539","Tbcb","TBCB"
"540","Clca1","CLCA1"
"541","Clcn6","CLCN6"
"542","Clic5","CLIC5"
"543","Ldb2","LDB2"
"544","Clns1a","CLNS1A"
"545","Ackr2","ACKR2"
"546","Cnga3","CNGA3"
"547","Cnn1","CNN1"
"548","Klf6","KLF6"
"549","Cort","CORT"
"550","Cpd","CPD"
"551","Cldn4","CLDN4"
"552","Cldn3","CLDN3"
"553","Cpn1","CPN1"
"554","Crebl2","CREBL2"
"555","Cse1l","CSE1L"
"556","Cst6","CST6"
"557","Cstf1","CSTF1"
"558","Cstf3","CSTF3"
"559","Ctbp1","CTBP1"
"560","Ctf1","CTF1"
"561","Ctnnd1","CTNND1"
"562","Ctso","CTSO"
"563","Ctsz","CTSZ"
"564","Cxadr","CXADR"
"565","Dab2","DAB2"
"566","Dad1","DAD1"
"567","Dgka","DGKA"
"568","Dgkg","DGKG"
"569","Dars","DARS1"
"570","Daxx","DAXX"
"571","Dbp","DBP"
"572","Ddt","DDT"
"573","Dhx9","DHX9"
"574","Dhx15","DHX15"
"575","Dhcr7","DHCR7"
"576","Dhodh","DHODH"
"577","Dio3","DIO3"
"578","Dkc1","DKC1"
"579","Dlg2","DLG2"
"580","Dlg4","DLG4"
"581","Dnah5","DNAH5"
"582","Dnah8","DNAH8"
"583","Dnase2b","DNASE2B"
"584","Dync1h1","DYNC1H1"
"585","Dok1","DOK1"
"586","Dpagt1","DPAGT1"
"587","Dph1","DPH1"
"588","Dph2","DPH2"
"589","Drg2","DRG2"
"590","Ecm2","ECM2"
"591","Dusp4","DUSP4"
"592","Dusp9","DUSP9"
"593","Ece1","ECE1"
"594","Ech1","ECH1"
"595","S1pr1","S1PR1"
"596","Lpar1","LPAR1"
"597","Efna2","EFNA2"
"598","Efnb3","EFNB3"
"599","Celsr3","CELSR3"
"600","Celsr2","CELSR2"
"601","Eif2b1","EIF2B1"
"602","Emp1","EMP1"
"603","Emp2","EMP2"
"604","Emp3","EMP3"
"605","Ep300","EP300"
"606","Epas1","EPAS1"
"607","Ereg","EREG"
"608","Fbl","FBL"
"609","Esr2","ESR2"
"610","Extl2","EXTL2"
"611","Extl3","EXTL3"
"612","Fabp1","FABP1"
"613","Fabp6","FABP6"
"614","Fat2","FAT2"
"615","Foxf1","FOXF1"
"616","Foxf2","FOXF2"
"617","Foxj1","FOXJ1"
"618","Flna","FLNA"
"619","Frzb","FRZB"
"620","Adam2","ADAM2"
"621","Gabbr1","GABBR1"
"622","B4galnt1","B4GALNT1"
"623","Gas8","GAS8"
"624","Gatm","GATM"
"625","Nipsnap2","NIPSNAP2"
"626","Gbx2","GBX2"
"627","Gckr","GCKR"
"628","Bloc1s1","BLOC1S1"
"629","Gfra2","GFRA2"
"630","Gfra3","GFRA3"
"631","Gclc","GCLC"
"632","Gpld1","GPLD1"
"633","Cxcr3","CXCR3"
"634","Gpx5","GPX5"
"635","Gtf2b","GTF2B"
"636","Gtf2h2","GTF2H2"
"637","Gtf2h3","GTF2H3"
"638","Brf1","BRF1"
"639","Has1","HAS1"
"640","Hcrt","HCRT"
"641","Hcrtr2","HCRTR2"
"642","Hgfac","HGFAC"
"643","Hif1a","HIF1A"
"644","Hnrnpl","HNRNPL"
"645","Hspb1","HSPB1"
"646","Igsf3","IGSF3"
"647","Mrpl58","MRPL58"
"648","Id4","ID4"
"649","Ifit2","IFIT2"
"650","Ifit3","IFIT3"
"651","Ifit3b","IFIT3"
"652","Igfbp4","IGFBP4"
"653","Igfbp7","IGFBP7"
"654","Ccn1","CCN1"
"655","Igsf1","IGSF1"
"656","Il10ra","IL10RA"
"657","Il12rb2","IL12RB2"
"658","Il13ra1","IL13RA1"
"659","Tnfrsf9","TNFRSF9"
"660","Il18","IL18"
"661","Impg1","IMPG1"
"662","Cxcl10","CXCL10"
"663","Inppl1","INPPL1"
"664","Eif3e","EIF3E"
"665","Irak2","IRAK2"
"666","Irf3","IRF3"
"667","Pax6","PAX6"
"668","Aars","AARS1"
"669","Acadsb","ACADSB"
"670","Acp2","ACP2"
"671","Acrv1","ACRV1"
"672","Add2","ADD2"
"673","Parp1","PARP1"
"674","Grk2","GRK2"
"675","Ahr","AHR"
"676","Ahsg","AHSG"
"677","Aif1","AIF1"
"678","Ak2","AK2"
"679","Alcam","ALCAM"
"680","Alox5ap","ALOX5AP"
"681","Ambp","AMBP"
"682","Amd1","AMD1"
"683","Amd2","AMD1"
"684","Aoah","AOAH"
"685","Apeh","APEH"
"686","Apex1","APEX1"
"687","Apoa2","APOA2"
"688","Apobec1","APOBEC1"
"689","Apoc4","APOC4"
"690","Apod","APOD"
"691","Araf","ARAF"
"692","Arcn1","ARCN1"
"693","Trim23","TRIM23"
"694","Areg","AREG"
"695","Arl4d","ARL4D"
"696","Arf6","ARF6"
"697","Arl2","ARL2"
"698","Arnt","ARNT"
"699","Asgr1","ASGR1"
"700","a","ASIP"
"701","Atf3","ATF3"
"702","Atf4","ATF4"
"703","Atp5j","ATP5PF"
"704","Atp5b","ATP5F1B"
"705","Atp5pb","ATP5PB"
"706","Atp6v1b2","ATP6V1B2"
"707","Atp6v1c1","ATP6V1C1"
"708","Atp6v1e1","ATP6V1E1"
"709","Atp5o","ATP5PO"
"710","Auh","AUH"
"711","Baat","BAAT"
"712","Adgrb1","ADGRB1"
"713","Adgrb2","ADGRB2"
"714","Adgrb3","ADGRB3"
"715","Bcl7b","BCL7B"
"716","Opn1sw","OPN1SW"
"717","Cfb","CFB"
"718","Bgn","BGN"
"719","Bhmt","BHMT"
"720","Blk","BLK"
"721","Cxcr5","CXCR5"
"722","Bmp6","BMP6"
"723","Tec","TEC"
"724","Polr3d","POLR3D"
"725","Brs3","BRS3"
"726","Bsg","BSG"
"727","Btc","BTC"
"728","Btn1a1","BTN1A1"
"729","C1ra","C1R"
"730","C1rb","C1R"
"731","C1s1","C1S"
"732","C1s2","C1S"
"733","Calb2","CALB2"
"734","Calcr","CALCR"
"735","Caml","CAMLG"
"736","Canx","CANX"
"737","Capn2","CAPN2"
"738","Capns1","CAPNS1"
"739","Cars","CARS1"
"740","Cav1","CAV1"
"741","Runx1","RUNX1"
"742","Ccnd1","CCND1"
"743","Ccnf","CCNF"
"744","Cct6a","CCT6A"
"745","Cd1d1","CD1D"
"746","Cd2","CD2"
"747","Cd19","CD19"
"748","Cd34","CD34"
"749","Cd38","CD38"
"750","Cd47","CD47"
"751","Cd48","CD48"
"752","Cd72","CD72"
"753","Cda","CDA"
"754","Septin7","SEPTIN7"
"755","Cdc25a","CDC25A"
"756","Cdc25c","CDC25C"
"757","Cdh5","CDH5"
"758","Cdh11","CDH11"
"759","Cdk7","CDK7"
"760","Cdo1","CDO1"
"761","Cdx1","CDX1"
"762","Cebpe","CEBPE"
"763","Cebpg","CEBPG"
"764","Cenpa","CENPA"
"765","Cenpb","CENPB"
"766","Cenpc1","CENPC"
"767","Ctsc","CTSC"
"768","Chgb","CHGB"
"769","Clu","CLU"
"770","Clps","CLPS"
"771","Clta","CLTA"
"772","Ccr7","CCR7"
"773","Cnr2","CNR2"
"774","Col4a2","COL4A2"
"775","Col6a1","COL6A1"
"776","Col6a2","COL6A2"
"777","Col9a1","COL9A1"
"778","Col15a1","COL15A1"
"779","Col16a1","COL16A1"
"780","Slc31a1","SLC31A1"
"781","Cox7b","COX7B"
"782","Cad","CAD"
"783","Cpt1a","CPT1A"
"784","Crabp2","CRABP2"
"785","Crhbp","CRHBP"
"786","Hapln1","HAPLN1"
"787","Cryba4","CRYBA4"
"788","Crybb1","CRYBB1"
"789","Crym","CRYM"
"790","Csn2","CSN2"
"791","Ccn2","CCN2"
"792","Cth","CTH"
"793","Ctnna1","CTNNA1"
"794","Ctnnb1","CTNNB1"
"795","Dbt","DBT"
"796","Dct","DCT"
"797","Ddb1","DDB1"
"798","Gadd45a","GADD45A"
"799","Dhps","DHPS"
"800","Mpp7","MPP7"
"801","Dlst","DLST"
"802","Dpt","DPT"
"803","Atn1","ATN1"
"804","Dsc3","DSC3"
"805","Dsg1a","DSG1"
"806","Dsg1b","DSG1"
"807","Dsg2","DSG2"
"808","Hbegf","HBEGF"
"809","Dusp7","DUSP7"
"810","E2f4","E2F4"
"811","E2f5","E2F5"
"812","E2f6","E2F6"
"813","Tymp","TYMP"
"814","Edn1","EDN1"
"815","Edn2","EDN2"
"816","Ednra","EDNRA"
"817","Eef1b2","EEF1B2"
"818","Efna5","EFNA5"
"819","Egf","EGF"
"820","Egr4","EGR4"
"821","Ehhadh","EHHADH"
"822","Eif4a2","EIF4A2"
"823","Eif5a2","EIF5A2"
"824","Elk4","ELK4"
"825","Adgre1","ADGRE1"
"826","Dmtn","DMTN"
"827","Ercc1","ERCC1"
"828","Etfb","ETFB"
"829","Etv4","ETV4"
"830","Evpl","EVPL"
"831","Evx1","EVX1"
"832","Eya3","EYA3"
"833","F2r","F2R"
"834","F3","F3"
"835","F13b","F13B"
"836","Fbln2","FBLN2"
"837","Fbn2","FBN2"
"838","Fcer1a","FCER1A"
"839","Fcer2a","FCER2"
"840","Fcnb","FCN1"
"841","Fdps","FDPS"
"842","Fgf2","FGF2"
"843","Fgf4","FGF4"
"844","Fgf9","FGF9"
"845","Fkbp3","FKBP3"
"846","Foxo1","FOXO1"
"847","Fmod","FMOD"
"848","Fmr1","FMR1"
"850","Fn1","FN1"
"851","Fnta","FNTA"
"852","Fntb","FNTB"
"853","Fut4","FUT4"
"854","Kdsr","KDSR"
"855","Gab1","GAB1"
"856","Gabpa","GABPA"
"857","Gap43","GAP43"
"858","Gars","GARS1"
"859","Gas1","GAS1"
"860","Gata1","GATA1"
"861","Gata3","GATA3"
"862","Gata4","GATA4"
"864","Gfap","GFAP"
"865","Gja4","GJA4"
"866","Gclm","GCLM"
"867","Glp1r","GLP1R"
"868","Gna15","GNA15"
"869","Gnaq","GNAQ"
"870","Gns","GNS"
"871","Got1","GOT1"
"872","Got2","GOT2"
"873","Grb2","GRB2"
"874","Grn","GRN"
"875","Grik5","GRIK5"
"876","Grp","GRP"
"877","Gtf2f1","GTF2F1"
"878","Guca1b","GUCA1B"
"879","Hars","HARS1"
"880","Htt","HTT"
"881","Hivep1","HIVEP1"
"882","H2-Oa","HLA-DOA"
"883","H2-Ob","HLA-DOB"
"884","H2-Ab1","HLA-DQB1"
"885","Hmgcs1","HMGCS1"
"886","Hmox2","HMOX2"
"887","Nr4a1","NR4A1"
"888","Hoxb1","HOXB1"
"889","Hoxb3","HOXB3"
"890","Hoxd10","HOXD10"
"891","Hpd","HPD"
"892","Hspa4","HSPA4"
"893","Hspd1","HSPD1"
"894","Irf8","IRF8"
"895","Id1","ID1"
"896","Id2","ID2"
"897","Id3","ID3"
"898","Ifnb1","IFNB1"
"899","Igfbp6","IGFBP6"
"900","Ighmbp2","IGHMBP2"
"901","Il1rap","IL1RAP"
"902","Il6st","IL6ST"
"903","Il7r","IL7R"
"904","Il12b","IL12B"
"905","Il13","IL13"
"906","Il15ra","IL15RA"
"907","Il17a","IL17A"
"908","Inha","INHA"
"909","Inhba","INHBA"
"910","Inhbb","INHBB"
"911","Inpp1","INPP1"
"912","Aco1","ACO1"
"913","Irf1","IRF1"
"914","Irf2","IRF2"
"915","Isl1","ISL1"
"916","Itga2","ITGA2"
"917","Itga9","ITGA9"
"918","Itgal","ITGAL"
"919","Itih1","ITIH1"
"920","Itih2","ITIH2"
"921","Itih3","ITIH3"
"922","Itih4","ITIH4"
"923","Itpka","ITPKA"
"924","Itpkb","ITPKB"
"925","Itpr1","ITPR1"
"926","Itpr3","ITPR3"
"927","Ivd","IVD"
"928","Jag2","JAG2"
"929","Jak1","JAK1"
"930","Jun","JUN"
"931","Jup","JUP"
"932","Kcna5","KCNA5"
"933","Kcna6","KCNA6"
"934","Kcnj3","KCNJ3"
"935","Kcnj6","KCNJ6"
"936","Kcnj10","KCNJ10"
"937","Kcnj15","KCNJ15"
"938","Kcnk1","KCNK1"
"939","Kcnk3","KCNK3"
"940","Kcnma1","KCNMA1"
"941","Kcnn4","KCNN4"
